,"CRR274122","CRR274124","CRR274144","CRR274150","CRR274140","CRR274151","CRR274136","CRR274147","CRR274137","CRR274123","CRR274129","CRR274131","CRR274142","CRR274133","CRR274143","CRR274138","CRR274126","CRR274139","CRR274134","CRR274152","CRR274128","CRR274132","CRR274130","CRR274127","CRR274125","CRR274121","CRR274149","CRR274148","CRR274141","CRR274135","CRR274145","CRR274146"
"CRR274129",0.426811903715134,0.417313545942307,0.694799602031708,0.704675137996674,0.676807820796967,0.712855517864227,0.316345036029816,0.747918128967285,0.667764663696289,0.366907477378845,0,0.493075132369995,0.633892238140106,0.415377408266068,0.692720234394074,0.675206065177918,0.387056261301041,0.647541880607605,0.551479160785675,0.74315333366394,0.546545088291168,0.349227756261826,0.494907259941101,0.640608012676239,0.525550663471222,0.460394740104675,0.848744809627533,0.724008083343506,0.676377713680267,0.440387785434723,0.692822515964508,0.658600330352783
"CRR274131",0.582971692085266,0.595827460289001,0.617963075637817,0.628054261207581,0.635321199893951,0.645251333713532,0.419291257858276,0.670850872993469,0.713840425014496,0.531705498695374,0.493075132369995,0,0.598450779914856,0.343868643045425,0.62114679813385,0.71296888589859,0.560154020786285,0.706122517585754,0.496413350105286,0.653670132160187,0.59242182970047,0.426353245973587,0.441330075263977,0.710274815559387,0.541134297847748,0.505605578422546,0.730863571166992,0.64738392829895,0.732229351997376,0.400380343198776,0.707181990146637,0.585998892784119
"CRR274142",0.848402142524719,0.852032959461212,0.209737733006477,0.241116523742676,0.544256687164307,0.237237721681595,0.688590288162231,0.324871122837067,0.670670568943024,0.866611361503601,0.633892238140106,0.598450779914856,0,0.528983771800995,0.257170349359512,0.683634400367737,0.856587707996368,0.515385091304779,0.326271057128906,0.277573496103287,0.907519161701202,0.678867876529694,0.399115025997162,0.909736156463623,0.900362491607666,0.791420996189117,0.402570784091949,0.243936493992805,0.618350565433502,0.78121817111969,0.702705681324005,0.338745772838593
"CRR274133",0.607920348644257,0.605317413806915,0.577756881713867,0.585534632205963,0.580865561962128,0.591058254241943,0.340000599622726,0.639285683631897,0.609082758426666,0.541985273361206,0.415377408266068,0.343868643045425,0.528983771800995,0,0.571854293346405,0.622730016708374,0.590108752250671,0.635193765163422,0.427807688713074,0.620675206184387,0.654866874217987,0.348853468894958,0.397013396024704,0.72344446182251,0.628948628902435,0.55476701259613,0.707689166069031,0.600697755813599,0.670111298561096,0.47808638215065,0.643259763717651,0.523526251316071
"CRR274143",0.861410081386566,0.862150013446808,0.16572517156601,0.283070236444473,0.614612698554993,0.301757544279098,0.719683289527893,0.145434677600861,0.739464104175568,0.880103528499603,0.692720234394074,0.62114679813385,0.257170349359512,0.571854293346405,0,0.741648197174072,0.85426276922226,0.674615502357483,0.292058140039444,0.134629189968109,0.892051756381989,0.706118404865265,0.40877765417099,0.883437812328339,0.897787630558014,0.799344003200531,0.205294579267502,0.154276609420776,0.702796101570129,0.797066211700439,0.745196402072907,0.497310847043991
"CRR274138",0.845129430294037,0.837507009506226,0.655370235443115,0.590358018875122,0.463038206100464,0.624823093414307,0.677777767181397,0.717911183834076,0.156405195593834,0.849346101284027,0.675206065177918,0.71296888589859,0.683634400367737,0.622730016708374,0.741648197174072,0,0.844731152057648,0.409246742725372,0.788142681121826,0.741713285446167,0.880760252475739,0.671106338500977,0.745171189308167,0.903309047222137,0.88044399023056,0.84322065114975,0.850002884864807,0.731551706790924,0.327101022005081,0.788405001163483,0.35386934876442,0.502095520496368
"CRR274126",0.347378849983215,0.378387331962585,0.866181790828705,0.884016871452332,0.873518943786621,0.892132818698883,0.41867259144783,0.904208540916443,0.860499143600464,0.332506954669952,0.387056261301041,0.560154020786285,0.856587707996368,0.590108752250671,0.85426276922226,0.844731152057648,0,0.840030610561371,0.658969759941101,0.900453686714172,0.440443098545074,0.458941996097565,0.589881896972656,0.579492747783661,0.344538807868958,0.423639953136444,0.917277634143829,0.89328944683075,0.86216676235199,0.457747936248779,0.861589252948761,0.865174055099487
"CRR274139",0.847004115581512,0.833138883113861,0.560666739940643,0.57999974489212,0.333292603492737,0.516047775745392,0.655073225498199,0.703096866607666,0.370987266302109,0.855667471885681,0.647541880607605,0.706122517585754,0.515385091304779,0.635193765163422,0.674615502357483,0.409246742725372,0.840030610561371,0,0.737744212150574,0.66447925567627,0.873339772224426,0.687441825866699,0.706438839435577,0.896489560604095,0.876411199569702,0.829091250896454,0.794067561626434,0.650938332080841,0.310965448617935,0.776957929134369,0.50747537612915,0.349526643753052
"CRR274134",0.662262320518494,0.661207258701324,0.274513125419617,0.379248708486557,0.678071558475494,0.406775265932083,0.553157866001129,0.367008745670319,0.7942134141922,0.630744218826294,0.551479160785675,0.496413350105286,0.326271057128906,0.427807688713074,0.292058140039444,0.788142681121826,0.658969759941101,0.737744212150574,0,0.304770201444626,0.732744693756104,0.475249111652374,0.302282363176346,0.771967887878418,0.706903159618378,0.635653078556061,0.36100110411644,0.294541984796524,0.761786818504334,0.593189477920532,0.789820194244385,0.588186860084534
"CRR274152",0.909242987632751,0.903257250785828,0.127984389662743,0.236754715442657,0.601799845695496,0.233801782131195,0.766301691532135,0.166646495461464,0.736154079437256,0.924910247325897,0.74315333366394,0.653670132160187,0.277573496103287,0.620675206184387,0.134629189968109,0.741713285446167,0.900453686714172,0.66447925567627,0.304770201444626,0,0.933613359928131,0.70956826210022,0.442883968353272,0.928671896457672,0.942019760608673,0.840656638145447,0.168739169836044,0.0757587850093842,0.689912617206574,0.844095647335053,0.726712942123413,0.44259375333786
"CRR274128",0.394978761672974,0.351053774356842,0.901137709617615,0.919532179832459,0.905056834220886,0.925785779953003,0.480923116207123,0.933785736560822,0.893881320953369,0.395892173051834,0.546545088291168,0.59242182970047,0.907519161701202,0.654866874217987,0.892051756381989,0.880760252475739,0.440443098545074,0.873339772224426,0.732744693756104,0.933613359928131,0,0.519854784011841,0.643488764762878,0.595791876316071,0.564349889755249,0.376240938901901,0.945383369922638,0.928262233734131,0.893968403339386,0.54878044128418,0.895967245101929,0.904118537902832
"CRR274132",0.440560221672058,0.442190915346146,0.675955235958099,0.692592680454254,0.684685528278351,0.702821552753449,0.322219282388687,0.74563455581665,0.670921683311462,0.402155727148056,0.349227756261826,0.426353245973587,0.678867876529694,0.348853468894958,0.706118404865265,0.671106338500977,0.458941996097565,0.687441825866699,0.475249111652374,0.70956826210022,0.519854784011841,0,0.482169151306152,0.624576926231384,0.589646279811859,0.42639172077179,0.761247575283051,0.716232717037201,0.72009289264679,0.434625685214996,0.690345466136932,0.643510103225708
"CRR274130",0.594366133213043,0.609114348888397,0.409026294946671,0.404787600040436,0.634200990200043,0.424061864614487,0.504494369029999,0.47759148478508,0.749669134616852,0.622443616390228,0.494907259941101,0.441330075263977,0.399115025997162,0.397013396024704,0.40877765417099,0.745171189308167,0.589881896972656,0.706438839435577,0.302282363176346,0.442883968353272,0.643488764762878,0.482169151306152,0,0.716816604137421,0.663303077220917,0.588546693325043,0.523472428321838,0.425688534975052,0.732813000679016,0.57879900932312,0.745589137077332,0.553554594516754
"CRR274127",0.590889036655426,0.600041210651398,0.911293387413025,0.911216616630554,0.918564379215241,0.92033976316452,0.612172305583954,0.935145795345306,0.910293579101563,0.589474022388458,0.640608012676239,0.710274815559387,0.909736156463623,0.72344446182251,0.883437812328339,0.903309047222137,0.579492747783661,0.896489560604095,0.771967887878418,0.928671896457672,0.595791876316071,0.624576926231384,0.716816604137421,0,0.698805570602417,0.601458191871643,0.942791759967804,0.922131836414337,0.91714483499527,0.675945281982422,0.903931200504303,0.909012615680695
"CRR274125",0.513198792934418,0.517087697982788,0.911785364151001,0.927858650684357,0.917482078075409,0.934398353099823,0.545716822147369,0.946144938468933,0.884616136550903,0.441949725151062,0.525550663471222,0.541134297847748,0.900362491607666,0.628948628902435,0.897787630558014,0.88044399023056,0.344538807868958,0.876411199569702,0.706903159618378,0.942019760608673,0.564349889755249,0.589646279811859,0.663303077220917,0.698805570602417,0,0.56361448764801,0.955918312072754,0.936709046363831,0.898930847644806,0.441815406084061,0.888236224651337,0.912700057029724
"CRR274121",0.3731609582901,0.365830600261688,0.814469873905182,0.821784794330597,0.823628604412079,0.832082390785217,0.435774773359299,0.854181170463562,0.855827510356903,0.385897994041443,0.460394740104675,0.505605578422546,0.791420996189117,0.55476701259613,0.799344003200531,0.84322065114975,0.423639953136444,0.829091250896454,0.635653078556061,0.840656638145447,0.376240938901901,0.42639172077179,0.588546693325043,0.601458191871643,0.56361448764801,0,0.859616458415985,0.834329783916473,0.851729571819305,0.501777172088623,0.850287854671478,0.806104302406311
"CRR274149",0.930295407772064,0.92551326751709,0.261476397514343,0.383690297603607,0.716148138046265,0.359614938497543,0.85983145236969,0.183663845062256,0.852125585079193,0.944302439689636,0.848744809627533,0.730863571166992,0.402570784091949,0.707689166069031,0.205294579267502,0.850002884864807,0.917277634143829,0.794067561626434,0.36100110411644,0.168739169836044,0.945383369922638,0.761247575283051,0.523472428321838,0.942791759967804,0.955918312072754,0.859616458415985,0,0.207193106412888,0.797953546047211,0.881229281425476,0.847265720367432,0.571465909481049
"CRR274148",0.900956213474274,0.900261878967285,0.127078726887703,0.237485617399216,0.590305149555206,0.204929336905479,0.747272610664368,0.194688618183136,0.728108704090118,0.920543193817139,0.724008083343506,0.64738392829895,0.243936493992805,0.600697755813599,0.154276609420776,0.731551706790924,0.89328944683075,0.650938332080841,0.294541984796524,0.0757587850093842,0.928262233734131,0.716232717037201,0.425688534975052,0.922131836414337,0.936709046363831,0.834329783916473,0.207193106412888,0,0.676760911941528,0.837601184844971,0.723666369915009,0.41797536611557
"CRR274141",0.870310604572296,0.856767654418945,0.600139856338501,0.552269399166107,0.408502787351608,0.55296403169632,0.694231688976288,0.709416627883911,0.333913177251816,0.877221345901489,0.676377713680267,0.732229351997376,0.618350565433502,0.670111298561096,0.702796101570129,0.327101022005081,0.86216676235199,0.310965448617935,0.761786818504334,0.689912617206574,0.893968403339386,0.72009289264679,0.732813000679016,0.91714483499527,0.898930847644806,0.851729571819305,0.797953546047211,0.676760911941528,0,0.801446497440338,0.437505662441254,0.442892611026764
"CRR274135",0.493245214223862,0.510576069355011,0.806556344032288,0.825063407421112,0.815682590007782,0.834597587585449,0.368826448917389,0.847841262817383,0.79846066236496,0.421842753887177,0.440387785434723,0.400380343198776,0.78121817111969,0.47808638215065,0.797066211700439,0.788405001163483,0.457747936248779,0.776957929134369,0.593189477920532,0.844095647335053,0.54878044128418,0.434625685214996,0.57879900932312,0.675945281982422,0.441815406084061,0.501777172088623,0.881229281425476,0.837601184844971,0.801446497440338,0,0.804510891437531,0.798902690410614
"CRR274145",0.860836505889893,0.83954393863678,0.654001474380493,0.564111053943634,0.568232297897339,0.641111731529236,0.684830069541931,0.713065803050995,0.323762834072113,0.865912020206451,0.692822515964508,0.707181990146637,0.702705681324005,0.643259763717651,0.745196402072907,0.35386934876442,0.861589252948761,0.50747537612915,0.789820194244385,0.726712942123413,0.895967245101929,0.690345466136932,0.745589137077332,0.903931200504303,0.888236224651337,0.850287854671478,0.847265720367432,0.723666369915009,0.437505662441254,0.804510891437531,0,0.530480086803436
"CRR274146",0.870131433010101,0.865921080112457,0.361004173755646,0.337890297174454,0.407418102025986,0.27940109372139,0.680989027023315,0.522731125354767,0.478560566902161,0.890263020992279,0.658600330352783,0.585998892784119,0.338745772838593,0.523526251316071,0.497310847043991,0.502095520496368,0.865174055099487,0.349526643753052,0.588186860084534,0.44259375333786,0.904118537902832,0.643510103225708,0.553554594516754,0.909012615680695,0.912700057029724,0.806104302406311,0.571465909481049,0.41797536611557,0.442892611026764,0.798902690410614,0.530480086803436,0
